slug,type,state,primary_keyword,title,h1,word_count,faq_count,in_wave_states,in_wave_top200
hammond,city,Indiana,send flowers to Hammond,"Send Flowers, Cakes & Gifts to Hammond, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Hammond, IN",131,3,False,True
gary,city,Indiana,send flowers to Gary,"Send Flowers, Cakes & Gifts to Gary, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Gary, IN",128,3,False,True
lafayette,city,Indiana,send flowers to Lafayette,"Send Flowers, Cakes & Gifts to Lafayette, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lafayette, IN",137,3,False,True
noblesville,city,Indiana,send flowers to Noblesville,"Send Flowers, Cakes & Gifts to Noblesville, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Noblesville, IN",131,3,False,True
greenwood,city,Indiana,send flowers to Greenwood,"Send Flowers, Cakes & Gifts to Greenwood, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Greenwood, IN",129,3,False,True
westfield,city,Indiana,send flowers to Westfield,"Send Flowers, Cakes & Gifts to Westfield, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Westfield, IN",122,3,False,False
des-moines,city,Iowa,send flowers to Des Moines,"Send Flowers, Cakes & Gifts to Des Moines, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Des Moines, IA",137,3,False,True
cedar-rapids,city,Iowa,send flowers to Cedar Rapids,"Send Flowers, Cakes & Gifts to Cedar Rapids, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Cedar Rapids, IA",131,3,False,True
davenport,city,Iowa,send flowers to Davenport,"Send Flowers, Cakes & Gifts to Davenport, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Davenport, IA",135,3,False,True
sioux-city,city,Iowa,send flowers to Sioux City,"Send Flowers, Cakes & Gifts to Sioux City, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Sioux City, IA",139,3,False,True
iowa-city,city,Iowa,send flowers to Iowa City,"Send Flowers, Cakes & Gifts to Iowa City, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Iowa City, IA",135,3,False,True
west-des-moines,city,Iowa,send flowers to West Des Moines,"Send Flowers, Cakes & Gifts to West Des Moines, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to West Des Moines, IA",137,3,False,True
ankeny,city,Iowa,send flowers to Ankeny,"Send Flowers, Cakes & Gifts to Ankeny, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Ankeny, IA",133,3,False,True
ames,city,Iowa,send flowers to Ames,"Send Flowers, Cakes & Gifts to Ames, IA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Ames, IA",129,3,False,True
wichita,city,Kansas,send flowers to Wichita,"Send Flowers, Cakes & Gifts to Wichita, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Wichita, KS",135,3,False,True
overland-park,city,Kansas,send flowers to Overland Park,"Send Flowers, Cakes & Gifts to Overland Park, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Overland Park, KS",121,3,False,True
kansas-city,city,Kansas,send flowers to Kansas City,"Send Flowers, Cakes & Gifts to Kansas City, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Kansas City, KS",137,3,False,True
olathe,city,Kansas,send flowers to Olathe,"Send Flowers, Cakes & Gifts to Olathe, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Olathe, KS",126,3,False,True
topeka,city,Kansas,send flowers to Topeka,"Send Flowers, Cakes & Gifts to Topeka, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Topeka, KS",127,3,False,True
lawrence,city,Kansas,send flowers to Lawrence,"Send Flowers, Cakes & Gifts to Lawrence, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lawrence, KS",125,3,False,True
shawnee,city,Kansas,send flowers to Shawnee,"Send Flowers, Cakes & Gifts to Shawnee, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Shawnee, KS",142,3,False,True
lenexa,city,Kansas,send flowers to Lenexa,"Send Flowers, Cakes & Gifts to Lenexa, KS | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lenexa, KS",136,3,False,True
louisville,city,Kentucky,send flowers to Louisville,"Send Flowers, Cakes & Gifts to Louisville, KY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Louisville, KY",127,3,False,True
lexington,city,Kentucky,send flowers to Lexington,"Send Flowers, Cakes & Gifts to Lexington, KY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lexington, KY",120,3,False,True
bowling-green,city,Kentucky,send flowers to Bowling Green,"Send Flowers, Cakes & Gifts to Bowling Green, KY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bowling Green, KY",134,3,False,True
owensboro,city,Kentucky,send flowers to Owensboro,"Send Flowers, Cakes & Gifts to Owensboro, KY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Owensboro, KY",122,3,False,True
covington,city,Kentucky,send flowers to Covington,"Send Flowers, Cakes & Gifts to Covington, KY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Covington, KY",137,3,False,True
florence,city,Kentucky,send flowers to Florence,"Send Flowers, Cakes & Gifts to Florence, KY | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Florence, KY",131,3,False,True
new-orleans,city,Louisiana,send flowers to New Orleans,"Send Flowers, Cakes & Gifts to New Orleans, LA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to New Orleans, LA",135,3,False,True
baton-rouge,city,Louisiana,send flowers to Baton Rouge,"Send Flowers, Cakes & Gifts to Baton Rouge, LA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Baton Rouge, LA",130,3,False,True
shreveport,city,Louisiana,send flowers to Shreveport,"Send Flowers, Cakes & Gifts to Shreveport, LA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Shreveport, LA",124,3,False,True
lafayette-la,city,Louisiana,send flowers to Lafayette,"Send Flowers, Cakes & Gifts to Lafayette, LA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lafayette, LA",122,3,False,False
lake-charles,city,Louisiana,send flowers to Lake Charles,"Send Flowers, Cakes & Gifts to Lake Charles, LA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lake Charles, LA",143,3,False,True
metairie,city,Louisiana,send flowers to Metairie,"Send Flowers, Cakes & Gifts to Metairie, LA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Metairie, LA",129,3,False,True
portland,city,Maine,send flowers to Portland,"Send Flowers, Cakes & Gifts to Portland, ME | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Portland, ME",127,3,False,True
lewiston,city,Maine,send flowers to Lewiston,"Send Flowers, Cakes & Gifts to Lewiston, ME | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lewiston, ME",120,3,False,True
bangor,city,Maine,send flowers to Bangor,"Send Flowers, Cakes & Gifts to Bangor, ME | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bangor, ME",124,3,False,True
south-portland,city,Maine,send flowers to South Portland,"Send Flowers, Cakes & Gifts to South Portland, ME | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to South Portland, ME",131,3,False,True
baltimore,city,Maryland,send flowers to Baltimore,"Send Flowers, Cakes & Gifts to Baltimore, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Baltimore, MD",139,3,False,True
columbia,city,Maryland,send flowers to Columbia,"Send Flowers, Cakes & Gifts to Columbia, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Columbia, MD",136,3,False,True
germantown,city,Maryland,send flowers to Germantown,"Send Flowers, Cakes & Gifts to Germantown, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Germantown, MD",129,3,False,True
silver-spring,city,Maryland,send flowers to Silver Spring,"Send Flowers, Cakes & Gifts to Silver Spring, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Silver Spring, MD",129,3,False,True
waldorf,city,Maryland,send flowers to Waldorf,"Send Flowers, Cakes & Gifts to Waldorf, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Waldorf, MD",126,3,False,True
