source,destination,status
/send-rakhi-to-evansville,/gifts-to-evansville,301
/send-rakhi-to-south-bend,/gifts-to-south-bend,301
/send-rakhi-to-carmel,/gifts-to-carmel,301
/send-rakhi-to-fishers,/gifts-to-fishers,301
/send-rakhi-to-bloomington-in,/gifts-to-bloomington-in,301
/send-rakhi-to-hammond,/gifts-to-hammond,301
/send-rakhi-to-gary,/gifts-to-gary,301
/send-rakhi-to-lafayette,/gifts-to-lafayette,301
/send-rakhi-to-noblesville,/gifts-to-noblesville,301
/send-rakhi-to-greenwood,/gifts-to-greenwood,301
/send-rakhi-to-westfield,/gifts-to-westfield,301
/send-rakhi-to-des-moines,/gifts-to-des-moines,301
/send-rakhi-to-cedar-rapids,/gifts-to-cedar-rapids,301
/send-rakhi-to-davenport,/gifts-to-davenport,301
/send-rakhi-to-sioux-city,/gifts-to-sioux-city,301
/send-rakhi-to-iowa-city,/gifts-to-iowa-city,301
/send-rakhi-to-west-des-moines,/gifts-to-west-des-moines,301
/send-rakhi-to-ankeny,/gifts-to-ankeny,301
/send-rakhi-to-ames,/gifts-to-ames,301
/send-rakhi-to-wichita,/gifts-to-wichita,301
/send-rakhi-to-overland-park,/gifts-to-overland-park,301
/send-rakhi-to-kansas-city,/gifts-to-kansas-city,301
/send-rakhi-to-olathe,/gifts-to-olathe,301
/send-rakhi-to-topeka,/gifts-to-topeka,301
/send-rakhi-to-lawrence,/gifts-to-lawrence,301
/send-rakhi-to-shawnee,/gifts-to-shawnee,301
/send-rakhi-to-lenexa,/gifts-to-lenexa,301
/send-rakhi-to-louisville,/gifts-to-louisville,301
/send-rakhi-to-lexington,/gifts-to-lexington,301
/send-rakhi-to-bowling-green,/gifts-to-bowling-green,301
/send-rakhi-to-owensboro,/gifts-to-owensboro,301
/send-rakhi-to-covington,/gifts-to-covington,301
/send-rakhi-to-florence,/gifts-to-florence,301
/send-rakhi-to-new-orleans,/gifts-to-new-orleans,301
/send-rakhi-to-baton-rouge,/gifts-to-baton-rouge,301
/send-rakhi-to-shreveport,/gifts-to-shreveport,301
/send-rakhi-to-lafayette-la,/gifts-to-lafayette-la,301
/send-rakhi-to-lake-charles,/gifts-to-lake-charles,301
/send-rakhi-to-metairie,/gifts-to-metairie,301
/send-rakhi-to-portland,/gifts-to-portland,301
/send-rakhi-to-lewiston,/gifts-to-lewiston,301
/send-rakhi-to-bangor,/gifts-to-bangor,301
/send-rakhi-to-south-portland,/gifts-to-south-portland,301
/send-rakhi-to-baltimore,/gifts-to-baltimore,301
/send-rakhi-to-columbia,/gifts-to-columbia,301
/send-rakhi-to-germantown,/gifts-to-germantown,301
/send-rakhi-to-silver-spring,/gifts-to-silver-spring,301
/send-rakhi-to-waldorf,/gifts-to-waldorf,301
/send-rakhi-to-frederick,/gifts-to-frederick,301
/send-rakhi-to-rockville,/gifts-to-rockville,301
/send-rakhi-to-gaithersburg,/gifts-to-gaithersburg,301
/send-rakhi-to-bethesda,/gifts-to-bethesda,301
/send-rakhi-to-annapolis,/gifts-to-annapolis,301
/send-rakhi-to-bowie,/gifts-to-bowie,301
/send-rakhi-to-towson,/gifts-to-towson,301
/send-rakhi-to-ellicott-city,/gifts-to-ellicott-city,301
/send-rakhi-to-boston,/gifts-to-boston,301
/send-rakhi-to-worcester,/gifts-to-worcester,301
/send-rakhi-to-springfield-ma,/gifts-to-springfield-ma,301
/send-rakhi-to-cambridge,/gifts-to-cambridge,301
/send-rakhi-to-lowell,/gifts-to-lowell,301
/send-rakhi-to-brockton,/gifts-to-brockton,301
/send-rakhi-to-quincy,/gifts-to-quincy,301
/send-rakhi-to-lynn,/gifts-to-lynn,301
/send-rakhi-to-new-bedford,/gifts-to-new-bedford,301
/send-rakhi-to-newton,/gifts-to-newton,301
/send-rakhi-to-somerville,/gifts-to-somerville,301
/send-rakhi-to-framingham,/gifts-to-framingham,301
/send-rakhi-to-waltham,/gifts-to-waltham,301
/send-rakhi-to-medford,/gifts-to-medford,301
/send-rakhi-to-brookline,/gifts-to-brookline,301
/send-rakhi-to-andover,/gifts-to-andover,301
/send-rakhi-to-burlington,/gifts-to-burlington,301
/send-rakhi-to-lexington-ma,/gifts-to-lexington-ma,301
/send-rakhi-to-natick,/gifts-to-natick,301
/send-rakhi-to-needham,/gifts-to-needham,301
/send-rakhi-to-detroit,/gifts-to-detroit,301
/send-rakhi-to-grand-rapids,/gifts-to-grand-rapids,301
/send-rakhi-to-warren,/gifts-to-warren,301
/send-rakhi-to-sterling-heights,/gifts-to-sterling-heights,301
/send-rakhi-to-ann-arbor,/gifts-to-ann-arbor,301
/send-rakhi-to-lansing,/gifts-to-lansing,301
/send-rakhi-to-dearborn,/gifts-to-dearborn,301
/send-rakhi-to-livonia,/gifts-to-livonia,301
/send-rakhi-to-troy,/gifts-to-troy,301
/send-rakhi-to-farmington-hills,/gifts-to-farmington-hills,301
/send-rakhi-to-novi,/gifts-to-novi,301
/send-rakhi-to-rochester-hills,/gifts-to-rochester-hills,301
/send-rakhi-to-canton,/gifts-to-canton,301
/send-rakhi-to-royal-oak,/gifts-to-royal-oak,301
/send-rakhi-to-kalamazoo,/gifts-to-kalamazoo,301
/send-rakhi-to-minneapolis,/gifts-to-minneapolis,301
/send-rakhi-to-saint-paul,/gifts-to-saint-paul,301
/send-rakhi-to-rochester,/gifts-to-rochester,301
/send-rakhi-to-bloomington-mn,/gifts-to-bloomington-mn,301
/send-rakhi-to-duluth-mn,/gifts-to-duluth-mn,301
/send-rakhi-to-brooklyn-park,/gifts-to-brooklyn-park,301
/send-rakhi-to-plymouth,/gifts-to-plymouth,301
/send-rakhi-to-eagan,/gifts-to-eagan,301
/send-rakhi-to-woodbury,/gifts-to-woodbury,301
/send-rakhi-to-maple-grove,/gifts-to-maple-grove,301
/send-rakhi-to-eden-prairie,/gifts-to-eden-prairie,301
/send-rakhi-to-edina,/gifts-to-edina,301
/send-rakhi-to-minnetonka,/gifts-to-minnetonka,301
/send-rakhi-to-jackson,/gifts-to-jackson,301
/send-rakhi-to-gulfport,/gifts-to-gulfport,301
/send-rakhi-to-southaven,/gifts-to-southaven,301
/send-rakhi-to-hattiesburg,/gifts-to-hattiesburg,301
/send-rakhi-to-biloxi,/gifts-to-biloxi,301
/send-rakhi-to-kansas-city-mo,/gifts-to-kansas-city-mo,301
/send-rakhi-to-st-louis,/gifts-to-st-louis,301
/send-rakhi-to-springfield-mo,/gifts-to-springfield-mo,301
/send-rakhi-to-columbia-mo,/gifts-to-columbia-mo,301
/send-rakhi-to-independence,/gifts-to-independence,301
/send-rakhi-to-lee-s-summit,/gifts-to-lee-s-summit,301
/send-rakhi-to-o-fallon,/gifts-to-o-fallon,301
/send-rakhi-to-st-charles,/gifts-to-st-charles,301
/send-rakhi-to-st-peters,/gifts-to-st-peters,301
/send-rakhi-to-chesterfield,/gifts-to-chesterfield,301
/send-rakhi-to-billings,/gifts-to-billings,301
/send-rakhi-to-missoula,/gifts-to-missoula,301
/send-rakhi-to-great-falls,/gifts-to-great-falls,301
/send-rakhi-to-bozeman,/gifts-to-bozeman,301
/send-rakhi-to-omaha,/gifts-to-omaha,301
/send-rakhi-to-lincoln,/gifts-to-lincoln,301
/send-rakhi-to-bellevue,/gifts-to-bellevue,301
/send-rakhi-to-papillion,/gifts-to-papillion,301
/send-rakhi-to-las-vegas,/gifts-to-las-vegas,301
/send-rakhi-to-henderson,/gifts-to-henderson,301
/send-rakhi-to-north-las-vegas,/gifts-to-north-las-vegas,301
/send-rakhi-to-reno,/gifts-to-reno,301
/send-rakhi-to-sparks,/gifts-to-sparks,301
/send-rakhi-to-summerlin,/gifts-to-summerlin,301
/send-rakhi-to-manchester,/gifts-to-manchester,301
/send-rakhi-to-nashua,/gifts-to-nashua,301
/send-rakhi-to-concord-nh,/gifts-to-concord-nh,301
/send-rakhi-to-newark-nj,/gifts-to-newark-nj,301
/send-rakhi-to-jersey-city,/gifts-to-jersey-city,301
/send-rakhi-to-paterson,/gifts-to-paterson,301
/send-rakhi-to-elizabeth,/gifts-to-elizabeth,301
/send-rakhi-to-edison,/gifts-to-edison,301
/send-rakhi-to-woodbridge,/gifts-to-woodbridge,301
/send-rakhi-to-lakewood-nj,/gifts-to-lakewood-nj,301
/send-rakhi-to-toms-river,/gifts-to-toms-river,301
/send-rakhi-to-hamilton,/gifts-to-hamilton,301
/send-rakhi-to-trenton,/gifts-to-trenton,301
/send-rakhi-to-clifton,/gifts-to-clifton,301
/send-rakhi-to-passaic,/gifts-to-passaic,301
/send-rakhi-to-union-city-nj,/gifts-to-union-city-nj,301
/send-rakhi-to-bayonne,/gifts-to-bayonne,301
/send-rakhi-to-east-orange,/gifts-to-east-orange,301
/send-rakhi-to-princeton,/gifts-to-princeton,301
/send-rakhi-to-plainsboro,/gifts-to-plainsboro,301
/send-rakhi-to-piscataway,/gifts-to-piscataway,301
/send-rakhi-to-new-brunswick,/gifts-to-new-brunswick,301
